question,choices,back,answer,Question_int
Which of the following provides the BEST example of a wood-frame exterior wall buildup (from the inside outwards)?,"Interior finish, vapour barrier, insulation, the wood frame, plywood sheathing, building paper, and exterior siding|Exterior siding, building paper, plywood sheathing, the wood frame, insulation, vapour barrier, and interior finish|Insulation, exterior siding, plywood sheathing, the wood frame, building paper, vapour barrier, and wallpaper|Vapour barrier, paint on drywall, insulation, building paper, the wood frame, insulation, and interior finish","<p>Option (1) describes the correct order of components in a wood -frame exterior wall from the inside out. Options <br>(2), (3), and (4) are incorrect because a ny other order of these components will result in undesirable appearance <br>or function of the walls.</p>",Correct Option: 1,775
"Between 1900-1920, _______________ were the primary form of repayment for residential mortgage financing, whereas after the Depression, ________________ were the primary form of repayment for residential mortgage financing.","interest only loans; long-term fully amortized mortgages|long-term fully amortized mortgages; interest only loans|interest only loans; graduated payment mortgages|partially amortized mortgages, straight line principal reduction loans","<p>Option (1) is correct because b etween 1900- 1920, interest only loans were the primary form of repayment for <br>residential mortgage financing. After the Depression, long -term fully amortized loans were the primary form of <br>repayment for residential mortgage financing.  Options (2), (3), and (4) are therefore incorrect.</p>",Correct Option: 1,776
Which of the following will NOT serve to discharge a contract?,An agreement between the parties|The concept of frustration|Performance of the parties' mutual obligations|A patent defect,"<p>Option (4) is correct because a patent defect will not discharge a co ntract as the principle of “caveat emptor” (let <br>the buyer beware) applies, and so the purchaser must take the risk of these patent defects. Option (1) is incorrect <br>because a contract can be discharged by an agreement between the parties to waive full compl iance with the <br>terms of the contract. Option (2) is incorrect because a contract can be discharged by frustration. Option (3) is <br>incorrect because once the final act of performance occur s, the contract is discharged.  <br></p>",Correct Option: 4,777
"Larry owns a large gift shop. For the past eight years, Marie, a jeweller, has leased an area in the back room for use as a workshop. Larry and Marie have an oral agreement that Marie will only use the workshop area during weekday mornings when the gift shop is not busy, so as not to disturb customers with the noise of her work. Marie pays $350 each month to Larry for this right. Larry has sold the shop to Theo for use as a restaurant, but he is uncertain what to do about his long-term tenant. You correctly advise Larry that:","the Commercial Tenancy Act requires that ""reasonable notice"" of a least six months be given to Marie of Larry's intention to terminate the tenancy.|in order for Marie to enforce this agreement against Theo, it must be in writing and registered in the Land Title Office.|the agreement between Larry and Marie is not enforceable against Theo because it is only a licence.|the agreement is not enforceable against Larry because it does not meet the requirements of the Real Estate Services Act.","<p>Option (3) is co rrect because a licence is a contractual agreement and so does not “run with the land” and bind <br>successors in title as an interest in land would. The distinction between a licence and a lease is based on <br>intention based on whether the parties to the agreem ent intend to grant an interest in land, or simply create a <br>licence to occupy. Option (1) is incorrect because Larry granted a licence, not a lease. Option (2) is incorrect <br>because the agreement is a licence and therefore is not enforceable against success ors. Option (4) is incorrect <br>beca use the agreement is a licence.</p>",Correct Option: 3,778
"Kenneth, a licensed managing broker, has been sued by a buyer who relied on the advice of a representative employed by Kenneth. Evidence in the case indicated that Kenneth's representative was grossly incompetent and that Kenneth had failed to carry out his supervisory responsibilities as the managing broker. The British Columbia Financial Services Authority (BCFSA) is instituting a formal disciplinary hearing to investigate the situation and both Kenneth and the representative have received the notice of hearing. Kenneth does not think that BCFSA can discipline him and is angry that he is being held responsible for his representative's conduct. Which of the following statements is FALSE?","BCFSA has the authority to subject Kenneth to a disciplinary hearing for the action of his representative, under the powers granted to BCFSA by the Real Estate Services Act.|The representative cannot be disciplined jointly with Kenneth; only Kenneth will bear responsibility for a breach of the Real Estate Services Act by his employee.|One of the disciplinary options available to BCFSA in this case is to suspend Kenneth's licence.|If BCFSA imposes a discipline order on Kenneth, the Real Estate Services Act requires that BCFSA publish this order on its website and provide copies to any person upon request.","<p>Option (2) is correct because both a broker and a representative employed by the broker can be disciplined jointly. Option (1) is incorrect because the <br>Real Estate Services Act  grants power to the British Columbia <br>Financial Services Authority (BCFSA) to subject brokers to disciplinary hearings for the actions of their <br>representatives, and therefore is true. Option (3) is incorrect because section 43 of the Real Estat e Services Act <br>allows for the suspension of the broker’s licence, and is therefore true. Option (4) is incorrect because the  Real <br>Estate Services Act requires that BCFSA publish all orders on its website and provide copies to any person upon <br>request, and i s therefore true.</p>",Correct Option: 2,779
"Where would one find plates, studs, and lintels?",In a ceiling truss|In a wall frame|Under carpeting|In a roof,"<p>Option (2) is correct because p lates , studs, and lintels are found in the wall frame.  Options (1), (3), and (4) are <br>therefore incorrect.</p>",Correct Option: 2,780
"In which of the following scenarios would the profit, or capital gain, realized upon the sale of property be MOST likely to be completely exempt from taxation?","The seller purchased the property as a long-term investment.|The seller purchased the property in order to ""flip"" the real estate by selling it quickly for a profit.|The seller purchased the property to provide supplemental income by renting it out.|The seller purchased the property to live in as their principal residence.","<p>Option (4) is correct because capital gains are exempt from taxation where the property sold was the seller’s principal residence. Options (1), (2), and (3) are incorrect because they do not fall within the principal residence <br>exception, and either 50 or 1 00% of the profit realized on the sale of the property would be taxed depending on <br>whether it is considered a true capital gain or instead, business income.</p>",Correct Option: 4,781
Where a deposit is paid directly to a seller on account of the purchase price:,the amount of the deposit will appear only on the buyer's statement of adjustments.|the amount of the deposit will appear as a debit on the buyer's statement and a credit on the seller's statement of adjustments.|the amount of the deposit will appear only on the seller's statement of adjustment.|the amount of the deposit will appear as a credit on the buyer's statement and a debit on the seller's statement of adjustments.,"<p>Option (4) is correct because the deposit paid directly to the seller will r educe the cash proceeds to be received <br>by the seller upon completion, which is reflected as a debit, and will reduce the balance due from the buyer to <br>complete, which is reflected as a credit. Options (1) and (3) are incorrect because the amount of the dep osit will <br>appear both on the buyer’s and seller’s statements of adjustments. Option (2) is incorrect because the amount <br>will appear as a credit on the buyer’s statement and a de bit on the seller’s statement.</p>",Correct Option: 4,782
The courts will never allow the remedy of specific performance where:,the plaintiff is a limited company.|the defendant is without means.|damages are considered to be an adequate remedy.|the contract has already been partially performed.,"<p>Option (3) is correct bec ause specific performance is an equitable remedy granted at the discretion of the court <br>and will not be exercised when damages are considered to be an adequate remedy. Option (1) is incorrect <br>because a limited company can be granted specific performance at  the court’s discretion. Option (2) is incorrect <br>because a court can award specific performance if a defendant is without means. Option (4) is incorrect because even if the contract has already been partially performed, the court still has the discretion t o award specific <br>performance.  <br></p>",Correct Option: 3,783
"A constant payment mortgage is written for $48,951.77 and specifies payments of $520 per month for 15 years. The interest rate on this mortgage is:",j₁₂ = 8.821533% | j₂ = 8.963722% | j₄ = 9.878033% | j₁ = 8.521456%,"<p>
 This question is solved in two parts. First, calculate the interest rate on the mortgage, which will be a j<sub>12</sub>. Then, convert the interest rates to the equivalent j<sub> 1</sub>, j<sub>2</sub>, and j<sub> 4</sub> to see if they match any  of the answers.</p>
<table border=""""1"""" cellpadding=""""4"""" cellspacing=""""0"""">
 <thead>
  <tr>
   <th>
    Press
   </th>
   <th>
    Display
   </th>
  </tr>
 </thead>
 <tbody>
  <tr>
   <td>
    12 ■ P/YR
   </td>
   <td style=""""text-align:right"""">
    12
   </td>
  </tr>
  <tr>
   <td>
    48951.77 PV
   </td>
   <td style=""""text-align:right"""">
    48,951.77
   </td>
  </tr>
  <tr>
   <td>
    520 +/− PMT
   </td>
   <td style=""""text-align:right"""">
    −520
   </td>
  </tr>
  <tr>
   <td>
    180 N
   </td>
   <td style=""""text-align:right"""">
    180
   </td>
  </tr>
  <tr>
   <td>
    0 FV
   </td>
   <td style=""""text-align:right"""">
    0
   </td>
  </tr>
  <tr>
   <td>
    I/YR
   </td>
   <td style=""""text-align:right"""">
    9.797818
   </td>
  </tr>
 </tbody>
</table>

<p>This does not match with the j<sub>12</sub> rate of Option (1). Therefore, we must test the other options to find the correct equivalent rate. Continuing the calculator steps, find the equivalent j<sub>1</sub>, j<sub>2</sub> and j<sub>4</sub> rates:</p>

<table border=""""1"""" cellpadding=""""4"""" cellspacing=""""0"""">
 <thead>
  <tr>
   <th>
    Press
   </th>
   <th>
    Display
   </th>
  </tr>
 </thead>
 <tbody>
  <tr>
   <td>
    ■ EFF%
   </td>
   <td style=""""text-align:right"""">
    10.250003
   </td>
  </tr>
  <tr>
   <td>
    2 ■ P/YR
   </td>
   <td style=""""text-align:right"""">
    2
   </td>
  </tr>
  <tr>
   <td>
    ■ NOM%
   </td>
   <td style=""""text-align:right"""">
    10.000003
   </td>
  </tr>
  <tr>
   <td>
    4 ■ P/YR
   </td>
   <td style=""""text-align:right"""">
    4
   </td>
  </tr>
  <tr>
   <td>
    ■ NOM%
   </td>
   <td style=""""text-align:right"""">
    9.878033
   </td>
  </tr>
 </tbody>
</table>
<p>
 Options (2) and (4) do not match; therefore, the answer is Option (3).
</p>

",Correct Option: 3,784
